scenario,method,runs,gate_active_rate,common_regret_mean,policy_regret_mean,improvement_mean,executed_trials_mean
COMMON_RESISTANCE,COMMON_POLICY,2,0.0,0.0,0.0,0.0,5.0
COMMON_RESISTANCE,PURE_EI,2,0.0,0.0,0.0,0.0,8.0
COMMON_RESISTANCE,RANDOM,10,0.0,0.0,0.0,0.0,8.0
COMMON_RESISTANCE,RESIDUAL_GREEDY,2,0.0,0.0,0.0,0.0,8.0
COMMON_RESISTANCE,SAST_BO,2,0.0,0.0,0.0,0.0,5.0
DIVERGENT_RESISTANCE,COMMON_POLICY,4,0.0,0.014250000000000096,0.014250000000000096,0.0,5.0
DIVERGENT_RESISTANCE,PURE_EI,4,0.0,0.014250000000000096,0.0,0.014250000000000096,8.0
DIVERGENT_RESISTANCE,RANDOM,20,0.0,0.014250000000000096,0.0,0.014250000000000096,8.0
DIVERGENT_RESISTANCE,RESIDUAL_GREEDY,4,0.0,0.014250000000000096,0.0,0.014250000000000096,8.0
DIVERGENT_RESISTANCE,SAST_BO,4,1.0,0.014250000000000096,0.0,0.014250000000000096,8.0
