family,subject_a,subject_b,spearman_rank,oracle_a,oracle_b,oracle_same,oracle_distance,transfer_a_to_b_regret_pct,transfer_b_to_a_regret_pct
BETA_TIMING,MYOLEG_VP_001,MYOLEG_VP_002,0.9987732528909,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_001,MYOLEG_VP_003,0.9996782302664657,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_001,MYOLEG_VP_005,0.9990265759925203,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_001,MYOLEG_VP_006,0.9994795939068386,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_001,MYOLEG_VP_007,0.9990749120160887,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_001,MYOLEG_VP_009,0.9997470297160701,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_001,MYOLEG_VP_010,0.9989263757684811,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_001,MYOLEG_VP_011,0.9990368077055384,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_001,MYOLEG_VP_013,0.9990286928986623,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_001,MYOLEG_VP_014,0.9992735483757156,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_001,MYOLEG_VP_015,0.9998098312649398,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_001,MYOLEG_VP_017,0.999635892143632,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_001,MYOLEG_VP_018,0.9995843807608514,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_001,MYOLEG_VP_019,0.9992421476012809,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_001,MYOLEG_VP_021,0.9984080865814614,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_001,MYOLEG_VP_022,0.9996574140227391,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_001,MYOLEG_VP_023,0.9996972824217408,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_001,MYOLEG_VP_025,0.9999707161317068,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_001,MYOLEG_VP_026,0.9999816534801056,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_001,MYOLEG_VP_027,0.998439487355896,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_001,MYOLEG_VP_029,0.9993367027422756,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_001,MYOLEG_VP_030,0.9999463717110777,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_001,MYOLEG_VP_031,0.9994062078272606,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_002,MYOLEG_VP_003,0.9996076667284098,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_002,MYOLEG_VP_005,0.9999396681749626,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_002,MYOLEG_VP_006,0.9997865452973813,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_002,MYOLEG_VP_007,0.9999333174565376,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_002,MYOLEG_VP_009,0.9995081721397513,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_002,MYOLEG_VP_010,0.9999813006624154,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_002,MYOLEG_VP_011,0.9999375512688207,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_002,MYOLEG_VP_013,0.9999527224295027,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_002,MYOLEG_VP_014,0.9998895680629428,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_002,MYOLEG_VP_015,0.999419262081801,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_002,MYOLEG_VP_017,0.9996588252935003,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_002,MYOLEG_VP_018,0.9997075141347589,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_002,MYOLEG_VP_019,0.9999043864059346,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_002,MYOLEG_VP_021,0.9999474301641487,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_002,MYOLEG_VP_022,0.9996415372266767,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_002,MYOLEG_VP_023,0.9995921427500377,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_002,MYOLEG_VP_025,0.9989119102431797,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_002,MYOLEG_VP_026,0.9986285976378857,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_002,MYOLEG_VP_027,0.9999498998879806,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_002,MYOLEG_VP_029,0.9998602841946497,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_002,MYOLEG_VP_030,0.999077734557611,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_002,MYOLEG_VP_031,0.9998299418732856,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_003,MYOLEG_VP_005,0.9997463240806895,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_003,MYOLEG_VP_006,0.9999393153572722,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_003,MYOLEG_VP_007,0.9997752551312924,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_003,MYOLEG_VP_009,0.9999728330378488,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_003,MYOLEG_VP_010,0.9996909317033157,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_003,MYOLEG_VP_011,0.9997473825337603,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_003,MYOLEG_VP_013,0.9997554973406367,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
