scope,family,method,budget,runs,subject_count,mean_exploration_regret_pct,median_exploration_regret_pct,mean_recommendation_regret_pct,median_recommendation_regret_pct,pool_full_oracle_capture_rate,pool_near_oracle_capture_rate,recommendation_feasible_rate,no_feasible_pool_rate,mean_executed_count,mean_domain_coverage_fraction
DEVELOPMENT,BETA_TIMING,MODEL_INFORMED_BO_EI,1,24,24,2.4305774405706546,2.4294806488083407,2.4305774405706546,2.4294806488083407,0.0,0.0,1.0,0.0,1.0,0.0030864197530864196
DEVELOPMENT,BETA_TIMING,MODEL_INFORMED_BO_EI,2,24,24,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.006172839506172839
DEVELOPMENT,BETA_TIMING,MODEL_INFORMED_BO_EI,4,24,24,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.012345679012345678
DEVELOPMENT,BETA_TIMING,MODEL_INFORMED_BO_EI,8,24,24,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,8.0,0.024691358024691357
DEVELOPMENT,BETA_TIMING,PHYSICS_GREEDY,1,24,24,2.4305774405706546,2.4294806488083407,2.4305774405706546,2.4294806488083407,0.0,0.0,1.0,0.0,1.0,0.0030864197530864196
DEVELOPMENT,BETA_TIMING,PHYSICS_GREEDY,2,24,24,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.006172839506172839
DEVELOPMENT,BETA_TIMING,PHYSICS_GREEDY,4,24,24,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.012345679012345678
DEVELOPMENT,BETA_TIMING,PHYSICS_GREEDY,8,24,24,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,8.0,0.024691358024691357
DEVELOPMENT,BETA_TIMING,PURE_BO_EI,1,24,24,2.4305774405706546,2.4294806488083407,2.4305774405706546,2.4294806488083407,0.0,0.0,1.0,0.0,1.0,0.0030864197530864196
DEVELOPMENT,BETA_TIMING,PURE_BO_EI,2,24,24,2.4305774405706546,2.4294806488083407,2.4305774405706546,2.4294806488083407,0.0,0.0,1.0,0.0,2.0,0.006172839506172839
DEVELOPMENT,BETA_TIMING,PURE_BO_EI,4,24,24,1.0818140686881268,1.0784991862258095,1.0818140686881268,1.0784991862258095,0.0,0.0,1.0,0.0,4.0,0.012345679012345678
